Name	Position X	Position Y	Linear velocity X	Linear velocity Y
StarA	31.6159057617188	50.9481201171875	210.60285949707	23.0824508666992
StarA	35.0241088867188	51.168701171875	204.492095947266	13.2351045608521
StarA	38.330322265625	51.240234375	198.371078491211	4.2925386428833
StarA	41.534912109375	51.1759643554688	192.275909423828	-3.85554599761963
StarA	44.6387939453125	50.9875793457031	186.231582641602	-11.3028955459595
StarA	47.64306640625	50.6854248046875	180.255065917969	-18.1294364929199
StarA	50.5490112304688	50.2786865234375	174.357513427734	-24.4036045074463
StarA	53.3580932617188	49.7756042480469	168.545822143555	-30.1842231750488
StarA	56.0718383789063	49.1835632324219	162.823837280273	-35.5220413208008
StarA	58.6917114257813	48.5092163085938	157.193145751953	-40.4610214233398
StarA	61.2192993164063	47.758544921875	151.653732299805	-45.0394058227539
StarA	63.6560668945313	46.9370422363281	146.204391479492	-49.2905616760254
